name,lat,lon,分類,説明,住所,備考
緑が丘小学校,35.622605985709534,139.30998739462322,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,寺田町405－5
元八王子小学校,35.66970410746076,139.29188091374226,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,弐分方町761
元八王子東小学校,35.671304116162695,139.30434116868946,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,叶谷町1521
上壱分方小学校,35.684868521978494,139.28395057176493,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,上壱分方町799－2
城山小学校,35.65912633082351,139.27767131941675,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,元八王子町2－1767
弐分方小学校,35.67178681151408,139.28866373087166,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,弐分方町520－1
横川小学校,35.6672953771124,139.30764441714737,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,横川町305
恩方第一小学校,35.66963859553677,139.25449615651092,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,下恩方町1369
恩方第二小学校,35.67271468497567,139.21047612483446,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,上恩方町2193
元木小学校,35.68123329580707,139.26443185244682,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,下恩方町515－1
川口小学校,35.6924199455272,139.28036430115532,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,川口町3675
陶鎔小学校,35.68814356821895,139.30853188569105,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,犬目町56
上川口小学校,35.70557970418607,139.2501805278845,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,上川町1099
美山小学校,35.69070064612975,139.24830788928756,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,美山町1892
楢原小学校,35.67561702870391,139.30738178629494,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,楢原町1287－2
松枝小学校,35.68517201940575,139.30230336520705,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,楢原町601－13
加住小中学校　本校舎,35.702086749214665,139.3168092681936,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,加住町1－191
由井第一小学校,35.645687696842344,139.35608636118965,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,打越町348－1
由井第二小学校,35.63663970426436,139.33822098980508,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,片倉町2180
由井第三小学校,35.642827258021256,139.32713790226416,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,小比企町1201
長沼小学校,35.64258047061909,139.3654638186963,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,長沼町707－3
片倉台小学校,35.631369656422486,139.34611093754407,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,片倉町1318
高嶺小学校,35.62848377391407,139.3507367130152,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,北野台4－21－1
みなみ野小学校（みなみ野小中学校）,35.63270249462253,139.32316929278983,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,みなみ野6－14－1
みなみ野君田小学校,35.62724204503521,139.32470936125233,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,みなみ野4-3-1
七国小学校,35.62070354031823,139.32082794301326,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,七国5－27－1
浅川小学校,35.640593280895445,139.28190934197912,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,初沢町1335
東浅川小学校,35.64277312501877,139.28664457040915,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,東浅川町550－22
由木中央小学校,35.6300729480805,139.3832536062615,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,下柚木25
由木東小学校,35.634415316506306,139.40764054896636,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,東中野1347
由木西小学校,35.62325804205251,139.36127686408452,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,上柚木538－1
鹿島小学校,35.633916870718835,139.42613187869986,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,鹿島13
松が谷小学校,35.6286458102254,139.4143934837967,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,松が谷12
中山小学校,35.62581869440587,139.35843499077362,指定緊急避難場所（一時避難場所）地震［屋外］,地震などが発生したときに、様子を見るためにとりあえず避難する場所で、正確な情報を得て、地域ぐるみで活動を行う拠点となります。,中山1155
